,nome,link,nome_link
0,Ana das Graças Côrtes Rossignoli,verba.php?leg=2017-2020&verba=1&vereador=ANA&ano=2017&mes=01,ANA
1,André Luis Gomes Mariano,verba.php?leg=2017-2020&verba=1&vereador=ANDREMARIANO&ano=2017&mes=01,ANDREMARIANO
2,Antônio Santos Aguiar,verba.php?leg=2017-2020&verba=1&vereador=DR.ANTONIOAGUIAR&ano=2017&mes=01,DR.ANTONIOAGUIAR
3,Aparecido Reis Miguel Oliveira,verba.php?leg=2017-2020&verba=1&vereador=CIDO&ano=2017&mes=01,CIDO
4,Charlles Evangelista,verba.php?leg=2017-2020&verba=1&vereador=CHARLLESEVANGELISTA&ano=2017&mes=01,CHARLLESEVANGELISTA
5,Delegada Sheila,verba.php?leg=2017-2020&verba=1&vereador=DELEGADASHEILA&ano=2017&mes=01,DELEGADASHEILA
6,Dr. Adriano Miranda,verba.php?leg=2017-2020&verba=1&vereador=ADRIANOMIRANDA&ano=2017&mes=01,ADRIANOMIRANDA
7,Hitler Vagner Candido de Oliveira,verba.php?leg=2017-2020&verba=1&vereador=VAGNERDEOLIVEIRA&ano=2017&mes=01,VAGNERDEOLIVEIRA
8,José Mansueto Fiorilo,verba.php?leg=2017-2020&verba=1&vereador=FIORILO&ano=2017&mes=01,FIORILO
9,José Márcio Lopes Guedes,verba.php?leg=2017-2020&verba=1&vereador=ZEMARCIO&ano=2017&mes=01,ZEMARCIO
10,João Coteca,verba.php?leg=2017-2020&verba=1&vereador=JOAOCOTECA&ano=2017&mes=01,JOAOCOTECA
11,João Kennedy Ribeiro,verba.php?leg=2017-2020&verba=1&vereador=KENNEDY&ano=2017&mes=01,KENNEDY
12,Júlio Obama Jr.,verba.php?leg=2017-2020&verba=1&vereador=JULIOOBAMA&ano=2017&mes=01,JULIOOBAMA
13,Luiz Otávio Fernandes Coelho,verba.php?leg=2017-2020&verba=1&vereador=PARDAL&ano=2017&mes=01,PARDAL
14,Marlon Siqueira,verba.php?leg=2017-2020&verba=1&vereador=MARLONSIQUEIRA&ano=2017&mes=01,MARLONSIQUEIRA
15,Roberto Cupolillo,verba.php?leg=2017-2020&verba=1&vereador=BETAO&ano=2017&mes=01,BETAO
16,Rodrigo Cabreira de Mattos,verba.php?leg=2017-2020&verba=1&vereador=RODRIGO&ano=2017&mes=01,RODRIGO
17,Sargento Mello,verba.php?leg=2017-2020&verba=1&vereador=SARGENTOMELLO&ano=2017&mes=01,SARGENTOMELLO
18,Wanderson Castelar Gonçalves,verba.php?leg=2017-2020&verba=1&vereador=CASTELAR&ano=2017&mes=01,CASTELAR
